0,0,53.00
10,0,50.00
20,0,49.00
30,0,51.00
40,0,58.00
50,0,58.00
60,0,63.00
70,0,60.00
80,0,53.00
90,0,54.00
100,0,53.00
110,0,49.00
120,0,50.00
130,0,48.00
140,0,49.00
150,0,50.00
160,0,50.00
170,0,49.00
180,0,51.00
0,10,72.00
10,10,75.00
20,10,82.00
30,10,81.00
40,10,74.00
50,10,75.00
60,10,75.00
70,10,77.00
80,10,73.00
90,10,70.00
100,10,72.00
110,10,70.00
120,10,73.00
130,10,73.00
140,10,68.00
150,10,73.00
160,10,72.00
170,10,71.00
180,10,71.00
0,20,76.00
10,20,89.00
20,20,90.00
30,20,90.00
40,20,89.00
50,20,89.00
60,20,88.00
70,20,87.00
80,20,88.00
90,20,87.00
100,20,88.00
110,20,88.00
120,20,87.00
130,20,86.00
140,20,87.00
150,20,86.00
160,20,91.00
170,20,92.00
180,20,90.00
0,30,96.00
10,30,87.00
20,30,87.00
30,30,87.00
40,30,87.00
50,30,88.00
60,30,89.00
70,30,91.00
80,30,91.00
90,30,91.00
100,30,91.00
110,30,90.00
120,30,96.00
130,30,96.00
140,30,94.00
150,30,93.00
160,30,91.00
170,30,91.00
180,30,90.00
0,40,96.00
10,40,91.00
20,40,91.00
30,40,92.00
40,40,86.00
50,40,86.00
60,40,83.00
70,40,79.00
80,40,76.00
90,40,75.00
100,40,76.00
110,40,76.00
120,40,76.00
130,40,78.00
140,40,76.00
150,40,76.00
160,40,74.00
170,40,83.00
180,40,80.00
0,50,83.00
10,50,70.00
20,50,65.00
30,50,65.00
40,50,63.00
50,50,63.00
60,50,62.00
70,50,68.00
80,50,63.00
90,50,66.00
100,50,64.00
110,50,62.00
120,50,62.00
130,50,62.00
140,50,63.00
150,50,63.00
160,50,63.00
170,50,62.00
180,50,63.00
0,60,67.00
10,60,73.00
20,60,99.00
30,60,92.00
40,60,88.00
50,60,92.00
60,60,91.00
70,60,93.00
80,60,86.00
90,60,90.00
100,60,88.00
110,60,89.00
120,60,89.00
130,60,89.00
140,60,89.00
150,60,89.00
160,60,89.00
170,60,89.00
180,60,89.00
0,70,92.00
10,70,86.00
20,70,79.00
30,70,75.00
40,70,74.00
50,70,76.00
60,70,78.00
70,70,76.00
80,70,76.00
90,70,77.00
100,70,77.00
110,70,76.00
120,70,80.00
130,70,76.00
140,70,76.00
150,70,77.00
160,70,76.00
170,70,77.00
180,70,76.00
0,80,80.00
10,80,77.00
20,80,67.00
30,80,61.00
40,80,65.00
50,80,70.00
60,80,76.00
70,80,73.00
80,80,74.00
90,80,71.00
100,80,72.00
110,80,72.00
120,80,77.00
130,80,72.00
140,80,71.00
150,80,76.00
160,80,69.00
170,80,69.00
180,80,69.00
0,90,92.00
10,90,83.00
20,90,78.00
30,90,77.00
40,90,77.00
50,90,79.00
60,90,79.00
70,90,80.00
80,90,80.00
90,90,80.00
100,90,80.00
110,90,80.00
120,90,80.00
130,90,85.00
140,90,83.00
150,90,81.00
160,90,80.00
170,90,80.00
180,90,79.00
